"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2022","29,106.0","29,284.0","29,683.0","29,018.0","994.38K","0.30%"
"10/17/2022","29,018.0","29,240.0","29,240.0","28,130.0","1.23M","-0.91%"
"10/14/2022","29,284.0","29,284.0","29,461.0","28,929.0","1.94M","1.69%"
"10/13/2022","28,796.0","27,110.0","28,796.0","27,021.0","1.59M","6.57%"
"10/12/2022","27,021.0","25,734.0","27,021.0","25,468.0","1.66M","6.84%"
"10/11/2022","25,291.0","26,622.0","26,622.0","25,291.0","1.02M","-5.00%"
"10/10/2022","26,622.0","24,980.0","27,021.0","24,847.0","1.13M","2.74%"
"10/07/2022","25,912.0","27,065.0","27,154.0","25,646.0","1.93M","-5.81%"
"10/06/2022","27,509.0","28,352.0","28,352.0","27,509.0","1.03M","-2.52%"
"10/05/2022","28,219.0","28,219.0","28,396.0","27,775.0","581.59K","2.58%"
"10/04/2022","27,509.0","28,396.0","28,441.0","27,420.0","1.35M","-1.74%"
"10/03/2022","27,997.0","29,373.0","29,816.0","27,997.0","1.77M","-6.93%"
"09/30/2022","30,083.0","29,106.0","30,083.0","28,663.0","2.05M","1.19%"
"09/29/2022","29,728.0","30,171.0","30,260.0","29,683.0","1.13M","0.00%"
"09/28/2022","29,728.0","29,905.0","30,083.0","29,594.0","876.62K","-0.59%"
